#{"t_start": 1716727301.5744166, "env_id": "CustomHopper-source-v0"}
r,l,t
1611.048172,500,2.854289
1593.574662,500,3.45866
1609.367163,500,4.09807
1621.465306,500,4.721867
1599.386062,500,5.324735
1597.950559,500,6.086739
1622.926041,500,6.731355
1605.505124,500,7.450277
1608.410851,500,8.149413
1612.068182,500,8.830268
1597.719927,500,9.479792
1600.842421,500,10.181741
1619.65231,500,10.775826
1596.884063,500,11.408907
1614.39514,500,11.999104
1621.053365,500,12.683239
1590.097722,500,13.265702
1600.163863,500,13.983878
1603.382401,500,14.699931
1601.804816,500,15.608368
1666.51539,500,16.310964
1581.562028,500,17.051517
1595.39699,500,17.802666
1588.023533,500,18.579497
1596.867887,500,19.338674
1608.900847,500,20.221591
1580.176124,500,21.074931
1582.862139,500,21.865851
1598.345157,500,22.607276
1596.546735,500,23.337798
1591.301501,500,24.072508
1598.141128,500,24.798327
1610.39683,500,25.589583
1621.682727,500,26.314796
1600.983201,500,27.045373
1606.913878,500,27.781968
1620.467531,500,28.495669
1605.832807,500,29.226905
1618.702819,500,29.959871
1605.504805,500,30.689363
1593.11036,500,31.454385
1619.194971,500,32.178796
1586.907213,500,32.982386
1588.77166,500,33.736802
1607.845598,500,34.443176
1613.819844,500,35.209074
1613.278255,500,35.955899
1612.125988,500,36.696751
1582.959609,500,37.440357
1613.269148,500,38.197413
