#{"t_start": 1716727301.575268, "env_id": "CustomHopper-target-v0"}
r,l,t
864.578342,253,38.545876
904.614614,266,38.949543
894.60302,261,39.369595
921.639491,272,39.798458
869.796497,255,40.170005
898.731832,262,40.531153
912.343003,267,41.022182
871.06386,255,41.420233
864.060777,252,41.76718
891.779112,260,42.135819
931.997838,276,42.548241
904.87939,265,43.014262
917.100983,270,43.564449
932.685077,275,44.223662
893.896868,262,44.683952
887.175064,259,45.223216
902.886227,263,45.829589
898.040071,263,46.357024
919.380043,271,46.925156
912.224542,268,47.544617
913.535978,267,48.16194
903.432518,263,48.586182
909.556078,267,48.995533
902.160818,264,49.460839
912.351266,268,49.861337
899.286709,263,50.239317
916.583128,270,50.691097
909.780346,268,51.124872
903.310668,265,51.682679
891.643162,260,52.160315
892.205462,261,52.615898
884.077857,259,53.010122
899.927875,264,53.392643
899.911256,263,53.793375
890.620969,260,54.236026
899.679126,263,54.621409
900.65945,263,55.007188
880.970789,257,55.393649
861.999117,253,55.752241
883.814954,258,56.228791
932.744197,274,56.896189
870.244859,254,57.599405
889.838919,259,58.040678
902.177007,265,58.655056
899.856129,263,59.319418
929.518501,275,59.755384
914.81717,268,60.235569
887.147548,260,60.774102
909.000677,266,61.202565
908.127227,266,61.689273
1147.213971,328,62.407552
947.242318,296,63.012759
1097.11565,322,63.548191
1242.772891,368,64.120007
1001.378045,297,64.533404
1051.467876,309,65.00059
1105.333947,323,65.545174
968.760628,284,65.959011
1556.975655,500,66.660042
995.791463,296,67.106048
1097.679504,321,67.648385
1010.938835,300,68.085735
1176.450936,335,68.554795
1094.800387,317,69.033786
978.109079,293,69.505008
1144.616205,327,70.154646
1102.1069,318,70.601045
958.4393,283,71.10285
1057.888736,309,71.54478
977.801785,294,71.964197
986.456496,294,72.398806
953.041651,284,72.848272
1065.922176,315,73.391879
1096.462932,316,74.074662
1007.172479,299,74.66039
1558.802558,500,75.86217
1067.4078,312,76.561577
1045.037623,307,77.330976
1097.203997,315,78.176226
1048.809817,312,79.031834
966.707869,302,79.688385
1007.360519,297,80.308414
997.869239,298,81.037488
999.934612,297,81.720616
1079.576687,313,82.390662
1084.668869,314,83.327493
1028.638007,305,83.990526
958.140963,286,84.59638
1024.694808,304,85.168995
665.736189,214,85.496072
1060.929507,313,85.962318
960.629364,286,86.383364
1104.205582,325,86.953264
1101.638604,319,87.476181
1061.228507,310,87.943682
1060.599388,313,88.397809
1131.918588,331,89.024846
959.489885,285,89.484818
951.595652,286,89.91654
957.937952,285,90.341016
