#{"t_start": 1717403398.2965257, "env_id": "Walker2d-v2"}
r,l,t
125.553399,239,5.231763
316.106332,252,5.61401
118.476266,125,5.808935
150.384324,264,6.315808
154.5779,266,6.94136
141.688924,254,7.457539
178.294833,291,7.929118
100.000662,109,8.083472
162.605786,276,8.565899
85.519025,198,8.918204
131.065805,244,9.351582
299.115609,240,9.732598
85.142462,197,9.992376
119.073947,231,10.367288
240.706106,354,10.885361
98.414927,102,11.083948
107.20352,111,11.28897
119.107038,231,11.727872
88.399578,201,12.135171
124.080478,125,12.302019
171.989411,285,12.860055
100.431256,213,13.262976
127.995959,240,13.693015
104.780901,111,13.873643
318.763655,265,14.283591
288.102093,223,14.668473
93.812841,99,14.840051
133.827158,247,15.229814
102.723317,214,15.581198
210.234855,189,15.878331
366.443498,319,16.407593
93.904255,100,16.561736
110.263424,223,16.929431
147.467967,260,17.335625
102.876071,216,17.707821
101.57048,106,17.873692
106.42826,114,18.074178
183.194885,295,18.557644
101.709184,105,18.771476
329.512148,282,19.191749
352.839168,288,19.700676
128.899427,240,20.075189
119.131518,230,20.436878
292.025375,241,20.836226
118.440005,123,21.057011
168.38557,282,21.518264
110.993271,224,21.910224
107.673397,219,22.285858
346.88132,282,22.753697
203.779007,317,23.394227
399.327182,243,23.806565
103.2321,217,24.179559
106.582578,220,24.513113
117.878382,230,24.976172
95.950244,209,25.479085
108.368772,222,25.877222
106.485259,220,26.362816
120.032868,178,26.775371
93.23194,204,27.145015
102.199845,215,27.564809
151.660987,264,28.048498
115.926665,229,28.653976
97.309448,209,29.116463
